,name,latitude,longitude,coordinates
406,63rd Street & Central Park,41.77891406100002,-87.71236397799998,"(41.77891406100002, -87.71236397799998)"
407,59th Street & Central Park,41.78616725500001,-87.71271870499999,"(41.78616725500001, -87.71271870499999)"
408,59th Street & St. Louis,41.78620588000001,-87.71056372700002,"(41.78620588000001, -87.71056372700002)"
409,47th Street & St. Louis,41.80796579100002,-87.711419428,"(41.80796579100002, -87.711419428)"
410,26th Street & Homan,41.84439807899997,-87.70968610699998,"(41.84439807899997, -87.70968610699998)"
411,Cermak & Homan,41.85163636099998,-87.71024588,"(41.85163636099998, -87.71024588)"
412,16th Street & St. Louis,41.858942001,-87.712873,"(41.858942001, -87.712873)"
413,Homan & Roosevelt,41.86651899999998,-87.71045899900002,"(41.86651899999998, -87.71045899900002)"
414,Harrison & Homan,41.87356599999998,-87.71087999999997,"(41.87356599999998, -87.71087999999997)"
415,Jackson & Homan,41.87720815099999,-87.71064668899999,"(41.87720815099999, -87.71064668899999)"
416,Homan & Carroll,41.887368901,-87.71110360900002,"(41.887368901, -87.71110360900002)"
417,Homan & Augusta,41.89906000000002,-87.711479999,"(41.89906000000002, -87.711479999)"
418,North Ave & Kimball/Homan,41.90993268,-87.71145599200003,"(41.90993268, -87.71145599200003)"
419,Homan & Le Moyne,41.90811175300001,-87.71173614399999,"(41.90811175300001, -87.71173614399999)"
420,Kimball & Wabansia,41.91196000100001,-87.71180800000002,"(41.91196000100001, -87.71180800000002)"
421,Kimball & Armitage,41.91725300000002,-87.71181299900002,"(41.91725300000002, -87.71181299900002)"
422,Milwaukee & Diversey/Kimball,41.93171636300002,-87.711866326,"(41.93171636300002, -87.711866326)"
423,Milwaukee & Spaulding,41.93099161499998,-87.710678503,"(41.93099161499998, -87.710678503)"
424,Addison & Elston,41.94655799999998,-87.708933,"(41.94655799999998, -87.708933)"
425,Lawrence & Spaulding,41.96848388000001,-87.710795561,"(41.96848388000001, -87.710795561)"
426,Foster & Spaulding,41.97566,-87.71122300000002,"(41.97566, -87.71122300000002)"
427,Kedzie & Devon,41.99749987000001,-87.70943494,"(41.99749987000001, -87.70943494)"
428,Kedzie & Albion,42.00102768800002,-87.70939104899998,"(42.00102768800002, -87.70939104899998)"
429,McCormick & Pratt,42.00455898000001,-87.711559357,"(42.00455898000001, -87.711559357)"
430,6933 N Kedzie,42.00737134600001,-87.709274881,"(42.00737134600001, -87.709274881)"
431,Oakton & McCormick,42.02631711200002,-87.711335152,"(42.02631711200002, -87.711335152)"
432,Central Street & Bennett,42.06437654799998,-87.71080072799998,"(42.06437654799998, -87.71080072799998)"
433,111th Street & St. Louis,41.69139100000001,-87.708259999,"(41.69139100000001, -87.708259999)"
434,3400 W 87th Street,41.73500289899999,-87.70743664700001,"(41.73500289899999, -87.70743664700001)"
435,Archer & Homan,41.81122875099999,-87.708726061,"(41.81122875099999, -87.708726061)"
436,Archer & Spaulding,41.81233176900002,-87.70689929899999,"(41.81233176900002, -87.70689929899999)"
437,Kedzie & 19th Street,41.85556291400002,-87.705287446,"(41.85556291400002, -87.705287446)"
438,Kedzie & Ogden,41.85743874000002,-87.70549982300003,"(41.85743874000002, -87.70549982300003)"
439,16th Street & Spaulding,41.85899699999999,-87.70800000000003,"(41.85899699999999, -87.70800000000003)"
440,Kedzie & Lexington,41.87193940499998,-87.705941386,"(41.87193940499998, -87.705941386)"
441,Jackson & Spaulding,41.87723116199999,-87.708276641,"(41.87723116199999, -87.708276641)"
442,Kedzie & Monroe,41.879789991,-87.70616241200003,"(41.879789991, -87.70616241200003)"
443,Madison & Kedzie,41.88090199999999,-87.70633299899998,"(41.88090199999999, -87.70633299899998)"
444,Kedzie & Lake (Green Line),41.88421582299998,-87.70610720000002,"(41.88421582299998, -87.70610720000002)"
445,Kedzie & Fulton,41.88657915700003,-87.70620894400002,"(41.88657915700003, -87.70620894400002)"
446,Chicago & Spaulding,41.89540902599998,-87.70906100899998,"(41.89540902599998, -87.70906100899998)"
447,Chicago & Kedzie,41.89562959599999,-87.70673787700002,"(41.89562959599999, -87.70673787700002)"
448,Grand & Augusta,41.89937403699997,-87.70892413399997,"(41.89937403699997, -87.70892413399997)"
449,Milwaukee & Kedzie,41.929111186,-87.70767062099998,"(41.929111186, -87.70767062099998)"
450,Kedzie & Diversey,41.93193300000001,-87.707340999,"(41.93193300000001, -87.707340999)"
451,Belmont & Kedzie,41.93939480300003,-87.707544428,"(41.93939480300003, -87.707544428)"
452,Irving Park & Kedzie,41.95403413299999,-87.70789432599997,"(41.95403413299999, -87.70789432599997)"
453,Lawrence & Kedzie,41.96835479999999,-87.70861318700003,"(41.96835479999999, -87.70861318700003)"
454,Kedzie & Argyle,41.97198080700002,-87.7084903,"(41.97198080700002, -87.7084903)"
455,Lincoln & Peterson,41.99023574699999,-87.706878641,"(41.99023574699999, -87.706878641)"
456,Howard & Kedzie,42.01919195099998,-87.709256939,"(42.01919195099998, -87.709256939)"
